,train/global_step,rolling_corr_prm,rolling_corr_int,rolling_corr_comb,rolling_corr_token,rolling_corr_traj
0,1,,,,,
1,5,,,,,
2,10,,,,,
3,15,,,,,
4,20,,,,,
5,25,,,,,
6,30,,,,,
7,35,,,,,
8,40,,,,,
9,45,,,,,
10,50,,,,,
11,55,,,,,
12,60,,,,,
13,65,,,,,
14,70,0.7217205822418099,0.8955781101384679,0.993130419755836,0.6969078561678788,0.9518390830455122
15,75,0.4700001477989639,0.8702906906665427,0.9896978817154202,0.27747323952510256,0.9337374114254129
16,80,0.291290059064859,0.8293490427317064,0.9833313337899166,-0.06786858169797201,0.8967728782700191
17,85,0.05368283337875964,0.7401195576911069,0.9609039878067577,-0.36988933621178777,0.7655212207541567
18,90,-0.18083249768377124,0.42696835747556156,0.8942275570477805,-0.6786789079513688,-0.039209132593535825
19,95,-0.37461414229736106,-0.2888260804509915,0.8791412334832113,-0.882953540194345,-0.5798676242886239
20,100,-0.4396274348064445,-0.1753367899720026,0.8687383477302629,-0.9511554920809271,-0.6601210268007421
21,105,-0.48021409935815207,0.24976532346101912,0.882841137237816,-0.9719562098471134,-0.6385546684421538
22,110,-0.4423077103759389,0.4500099232055917,0.890864071110384,-0.9938856539829986,-0.7685705423200742
23,115,-0.465716519479983,0.3920507155466673,0.883647559326732,-0.9946991909998738,-0.7797029993131048
24,120,-0.3468140816780786,0.4502132613206402,0.8730457996893304,-0.9945521844052442,-0.7641744372730831
25,125,-0.27122674178760947,0.4269108468464595,0.8462627316037976,-0.9928672701010535,-0.7753121148976208
26,130,-0.27707143990806704,0.35831785936037375,0.8107185153124025,-0.9899559749817083,-0.868081442902452
27,135,-0.1567279793790069,0.4281515100863049,0.7919339967516346,-0.9839149415360504,-0.8991560993014636
28,140,0.0695171009392779,0.48764301043398484,0.7648647478205075,-0.968335064909628,-0.9592939333921893
29,145,0.388325034640644,0.5610111545754815,0.7824630212157205,-0.9581119164867667,-0.9637798115081818
30,150,0.5193550709312583,0.6651513240844079,0.8223653050885231,-0.8856296079497321,-0.9761810554273528
31,155,0.5594899830369485,0.6152601726139206,0.5404665889505643,-0.7511505359503393,-0.9772932379578726
32,160,0.3679609220601882,0.5718785254371382,0.6805574765888377,-0.7423038147198305,-0.977339472530656
33,165,0.4015617205610459,0.4529835925602832,0.798929771870678,-0.6874200568362206,-0.976561621411578
34,170,0.3138689522481465,0.5690498038715898,0.8133303913439922,-0.588896493740282,-0.9733935904238039
35,175,-0.3546079777698261,0.4078955536430425,0.8236073352955505,-0.614282284877185,-0.9708367651271138
36,180,-0.32510829915172473,0.5069498879865905,0.8329869521966873,-0.44097689495684184,-0.9665216058842964
37,185,-0.3022744998164146,0.5966495657904354,0.8645830899967556,-0.5554290678886289,-0.9499533583207993
38,190,-0.34771993140755675,0.654686838271054,0.9036856841144326,-0.3489748217081185,-0.9474457590970834
39,195,-0.35212963287199117,0.6477190041798506,0.9089345710012865,-0.3134709690005754,-0.9387251482961947
40,200,-0.33818509304421174,0.5404683897717792,0.8734403755783962,-0.031025829254828077,-0.922376223159569
41,205,-0.3704794356774864,0.43788341569507405,0.8748341338911851,-0.23931939151822224,-0.9025156503320092
42,210,-0.3733851078281028,0.3926419903439628,0.8731335754020532,-0.2595871242349834,-0.8889501046381109
43,215,-0.3827334359650174,0.3582515384035137,0.8749649508267856,-0.0824198043432268,-0.880114227844744
44,220,-0.3712603330098059,0.3297134764097255,0.876351543601926,-0.3085013993562308,-0.860850851397335
45,225,-0.331110965710921,0.15439241239501283,0.8618966778459238,-0.6076431605767185,-0.8081508644260679
46,230,-0.292646168395304,-0.19766907260538494,0.860603627277208,-0.5262705775391453,-0.7793268642632433
47,235,-0.04739701928345186,-0.48166307113788664,0.8907376038739324,-0.46991298125669595,-0.822358675421232
48,240,-0.04543712175464612,-0.6309930097910905,0.89197439849119,-0.566141137303204,-0.7639514849936142
49,245,-0.026955407461657775,-0.6607599975673839,0.8534056562229727,-0.5231141755390647,-0.6735036172235046
50,250,0.40860963087126706,-0.6679821857954462,0.8469157852871689,-0.5699889777126468,-0.4389146067981282
51,255,0.5378981902711026,-0.656484620217333,0.8325695873711372,-0.09944091192442386,-0.6459265989977014
52,260,0.585654032428235,-0.6589903519032821,0.8407691952880348,-0.20034301482639916,-0.5992408801283429
53,265,0.5035780591115189,-0.690002623407757,0.7945869348512563,-0.29409653837293775,-0.45488877767842517
54,270,0.37311846104125823,-0.65449106498934,0.8258248611652715,0.0762805954682407,-0.32846249835355884
55,275,0.22117402897094646,-0.7106671364544861,0.8545161648567186,0.2841367264450449,-0.3174527729408415
56,280,0.22624658463588507,-0.7671650957086493,0.8575558854723483,0.258757975949299,-0.33885360978926016
57,285,0.1956472311598247,-0.8378842531976615,0.8734901395068456,0.23695349670853452,-0.27720696134755113
58,290,0.28312364916210386,-0.7549637036448605,0.8880852644384143,0.15533872088205952,-0.20953305029652908
59,295,0.22390175885008556,-0.7273376126081111,0.8738540670296356,0.09191386216397814,-0.24759263995165404
60,300,0.2307519585984936,-0.5639613043254083,0.8810205369244918,-0.027828668089879653,-0.03688303214385107
